event_id,source_id,source_resort_name,entry_season,source_date,source_page,event_type,entry_date_exact,date_precision,notes,candidate_resort_id,entity_resolution_method,entity_resolution_status,entity_resolution_confidence,exact_label_candidate_ids,treatment_ready,treatment_blocker,exit_date,resort_name_canonical,cluster_id,assignment_quality,identity_status,point_municipality_bfs_id,point_municipality_name,bfs_hotel_municipality_name,bfs_hotel_universe,relationship_type
MAGIC_EVENT_5297293fadcf,MAGIC_2017,Ovronnaz,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,ovronnaz,unique_normalised_label,candidate_match_scope_pending,medium,ovronnaz,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Ovronnaz,SKI_CLUSTER_057,confident,provisional_existing_listing_not_independent_domain,6135,Leytron,,False,coordinate_container_only
MAGIC_EVENT_7fc038b727c8,MAGIC_2017,Rathvel,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,rathvel,unique_normalised_label,candidate_match_scope_pending,medium,rathvel,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Rathvel,SKI_CLUSTER_023,confident,provisional_existing_listing_not_independent_domain,2325,Châtel-Saint-Denis,,False,coordinate_container_only
MAGIC_EVENT_73d6c9593af8,MAGIC_2017,Schwarzsee,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,schwarzsee_kaiseregg_bahnen,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Schwarzsee Kaiseregg Bahnen,SKI_CLUSTER_093,confident,provisional_existing_listing_not_independent_domain,2138,Jaun,,False,coordinate_container_only
MAGIC_EVENT_fe4b42317a8c,MAGIC_2017,St-Luc / Chandolin,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,st_luc_chandolin,reviewed_alias,candidate_match_scope_pending,medium,st_luc_chandolin,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,St - Luc Chandolin,SKI_CLUSTER_036,confident,provisional_existing_listing_not_independent_domain,6252,Anniviers,Anniviers,True,coordinate_container_only
MAGIC_EVENT_28d987aff8d9,MAGIC_2017,Tramelan,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,tramelan,unique_normalised_label,candidate_match_scope_pending,medium,tramelan,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Tramelan,SKI_CLUSTER_128,confident,provisional_existing_listing_not_independent_domain,437,Mont-Tramelan,,False,coordinate_container_only
MAGIC_EVENT_0f3c7c202f69,MAGIC_2017,Vercorin,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,vercorin,unique_normalised_label,candidate_match_scope_pending,medium,vercorin,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Vercorin,SKI_CLUSTER_052,confident,provisional_existing_listing_not_independent_domain,6232,Chalais,,False,coordinate_container_only
MAGIC_EVENT_ad542a431b3b,MAGIC_2017,Villars-Gryon,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,villars_gryon_villars_gryon_les_diablerets,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Villars - Gryon Villars - Gryon - Les Diablerets,SKI_CLUSTER_008,confident,provisional_existing_listing_not_independent_domain,5409,Ollon,Ollon,True,coordinate_container_only
MAGIC_EVENT_88d598a65c98,MAGIC_2018,Arolla,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,arolla,unique_normalised_label,candidate_match_scope_pending,medium,arolla,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Arolla,SKI_CLUSTER_070,confident,provisional_existing_listing_not_independent_domain,6083,Evolène,Evolène,True,coordinate_container_only
MAGIC_EVENT_4355dae12496,MAGIC_2018,Evolène,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,evolene,unique_normalised_label,candidate_match_scope_pending,medium,evolene,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Evolène,SKI_CLUSTER_106,confident,provisional_existing_listing_not_independent_domain,6083,Evolène,Evolène,True,coordinate_container_only
MAGIC_EVENT_8c8a9214819c,MAGIC_2018,L'Abbaye,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_557da5465c53,MAGIC_2018,L'Orient,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_9030394c7d33,MAGIC_2018,La Forclaz,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,la_forclaz,unique_normalised_label,candidate_match_scope_pending,medium,la_forclaz,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,La Forclaz,SKI_CLUSTER_134,confident,provisional_existing_listing_not_independent_domain,6083,Evolène,Evolène,True,coordinate_container_only
MAGIC_EVENT_1a52914e9910,MAGIC_2018,Le Brassus,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_c93b34a1b0b7,MAGIC_2018,Les Pléiades,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,les_pleiades,unique_normalised_label,candidate_match_scope_pending,medium,les_pleiades,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Les Pléiades,SKI_CLUSTER_023,confident,provisional_existing_listing_not_independent_domain,5892,Blonay - Saint-Légier,Blonay - Saint-Légier,True,coordinate_container_only
MAGIC_EVENT_c85d5720a416,MAGIC_2018,Les Rochers de Naye,2018/2019,2018-03-07,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,rochers_de_naye_haut_de_caux_dent_de_jaman,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Rochers de Naye - Haut de Caux - Dent de Jaman,SKI_CLUSTER_089,confident,provisional_existing_listing_not_independent_domain,5891,Veytaux,,False,coordinate_container_only
MAGIC_EVENT_f8466b67d968,MAGIC_2019,Les Prés-d'Orvin,2019/2020,2019-03-13,1;2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,pres_d_orvin_les_pres_d_orvin,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Prés - d'Orvin Les Prés - d'Orvin,SKI_CLUSTER_130,confident,provisional_existing_listing_not_independent_domain,438,Orvin,,False,coordinate_container_only
MAGIC_EVENT_16df592d6264,MAGIC_2019,Leukerbad,2019/2020,2019-03-13,1;2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,leukerbad,unique_normalised_label,candidate_match_scope_pending,medium,leukerbad,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Leukerbad,SKI_CLUSTER_045,confident,provisional_existing_listing_not_independent_domain,6102,Albinen,,False,coordinate_container_only
MAGIC_EVENT_32f5ba9b74bf,MAGIC_2019,Saas-Fee,2019/2020,2019-03-13,1;2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,saas_fee,unique_normalised_label,candidate_match_scope_pending,medium,saas_fee,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Saas - Fee,SKI_CLUSTER_015,confident,provisional_existing_listing_not_independent_domain,6290,Saas-Fee,Saas-Fee,True,coordinate_container_only
MAGIC_EVENT_a93726b62aa2,MAGIC_PRESS_ARCHIVE,Crans-Montana,,2019-10-14,2019-10-14 announcement,base_pass_exit,UNKNOWN,day,Last covered day of base membership; not an absorbing treatment.,crans_montana_crans_montana,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",2020-04-30,Crans - Montana Crans - Montana,SKI_CLUSTER_020,confident,provisional_existing_listing_not_independent_domain,6253,Crans-Montana,Crans-Montana,True,coordinate_container_only
MAGIC_EVENT_99fa13e1d272,MAGIC_2020,La Robella,2020/2021,2020-03-10,3;4,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,la_robella,reviewed_alias,candidate_match_scope_pending,medium,la_robella,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,La Robella,SKI_CLUSTER_102,confident,provisional_existing_listing_not_independent_domain,6512,Val-de-Travers,,False,coordinate_container_only
MAGIC_EVENT_5b58cac48472,MAGIC_PRESS_ARCHIVE,Glacier 3000,2021/2022,2021-03-16,2021-03-16 announcement,included_winter_offer,UNKNOWN,season,Winter inclusion announced for 2021/2022; permanent integration separately announced in 2022. Requires scope-sensitive treatment coding.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_7169bc06b4bd,MAGIC_2022,Aeschiallmend,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_deea30b9cedc,MAGIC_2022,Axalp,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,axalp_brienz,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Axalp Brienz,SKI_CLUSTER_095,confident,provisional_existing_listing_not_independent_domain,573,Brienz (BE),Brienz (BE),True,coordinate_container_only
MAGIC_EVENT_90ad88e8e2f2,MAGIC_2022,Beatenberg,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_263702b9d32b,MAGIC_2022,Crans-Montana,2022/2023,2022-03-15,2,paid_pass100_option,UNKNOWN,season,100-day paid option differs from base membership; continuation evidenced for 2024/2025 in MAGIC_2024 page 2.,crans_montana_crans_montana,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Crans - Montana Crans - Montana,SKI_CLUSTER_020,confident,provisional_existing_listing_not_independent_domain,6253,Crans-Montana,Crans-Montana,True,coordinate_container_only
MAGIC_EVENT_6403836f480c,MAGIC_2022,Eriz,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,eriz,unique_normalised_label,candidate_match_scope_pending,medium,eriz,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Eriz,SKI_CLUSTER_138,warning,provisional_existing_listing_not_independent_domain,932,Horrenbach-Buchen,,False,coordinate_container_only
MAGIC_EVENT_703c57237aae,MAGIC_2022,Faltschen,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,faltschen_reichenbach_im_kandertal,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Faltschen - Reichenbach im Kandertal,SKI_CLUSTER_110,confident,provisional_existing_listing_not_independent_domain,567,Reichenbach im Kandertal,Reichenbach im Kandertal,True,coordinate_container_only
MAGIC_EVENT_974aac6c9b6e,MAGIC_2022,Glacier 3000,2022/2023,2022-03-15,1,permanent_base_pass_inclusion,UNKNOWN,season,Permanent inclusion without supplement; not its first exposure to Magic Pass.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_fab021288e50,MAGIC_2022,Habkern,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,habkern,unique_normalised_label,candidate_match_scope_pending,medium,habkern,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Habkern,SKI_CLUSTER_046,confident,provisional_existing_listing_not_independent_domain,579,Habkern,,False,coordinate_container_only
MAGIC_EVENT_0a144aae4624,MAGIC_2022,Heimenschwand,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,heimenschwand_buchholterberg,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Heimenschwand Buchholterberg,SKI_CLUSTER_109,confident,provisional_existing_listing_not_independent_domain,923,Buchholterberg,,False,coordinate_container_only
MAGIC_EVENT_ee78de3c984c,MAGIC_2022,Jaunpass,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,jaunpass,unique_normalised_label,candidate_match_scope_pending,medium,jaunpass,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Jaunpass,SKI_CLUSTER_132,confident,provisional_existing_listing_not_independent_domain,791,Boltigen,,False,coordinate_container_only
MAGIC_EVENT_5976fb0e0b69,MAGIC_2022,Métabief,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_53e31aca3797,MAGIC_2022,Niederhorn,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_60c16e385ca7,MAGIC_2022,Rossberg,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,rossberg_oberwil,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Rossberg - Oberwil,SKI_CLUSTER_176,confident,provisional_existing_listing_not_independent_domain,766,Oberwil im Simmental,,False,coordinate_container_only
MAGIC_EVENT_8cf2232c1ddf,MAGIC_2022,Rosswald,2022/2023,2022-03-15,1,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,rosswald,unique_normalised_label,candidate_match_scope_pending,medium,rosswald,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Rosswald,SKI_CLUSTER_058,confident,provisional_existing_listing_not_independent_domain,6010,Termen,,False,coordinate_container_only
MAGIC_EVENT_aa489c4d1dbf,MAGIC_2023,Bumbach,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,bumbach_schangnau,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Bumbach - Schangnau,SKI_CLUSTER_074,confident,provisional_existing_listing_not_independent_domain,906,Schangnau,Schangnau,True,coordinate_container_only
MAGIC_EVENT_8a425e7da33a,MAGIC_2023,Egg Ottenleue,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,ottenleuebad,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Ottenleuebad,SKI_CLUSTER_051,confident,provisional_existing_listing_not_independent_domain,852,Guggisberg,,False,coordinate_container_only
MAGIC_EVENT_78b01e8fe359,MAGIC_2023,Eischoll,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,eischoll_sportbahnen_eischoll,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Eischoll Sportbahnen Eischoll,SKI_CLUSTER_012,confident,provisional_existing_listing_not_independent_domain,6194,Eischoll,,False,coordinate_container_only
MAGIC_EVENT_d89311569829,MAGIC_2023,Gantrisch Gurnigel,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,gantrisch_gurnigel,unique_normalised_label,candidate_match_scope_pending,medium,gantrisch_gurnigel,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Gantrisch - Gurnigel,SKI_CLUSTER_051,confident,provisional_existing_listing_not_independent_domain,880,Rüeggisberg,,False,coordinate_container_only
MAGIC_EVENT_07fff5595b85,MAGIC_2023,Gspon,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,staldenried_gspon,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Staldenried - Gspon,SKI_CLUSTER_012,confident,provisional_existing_listing_not_independent_domain,6294,Staldenried,,False,coordinate_container_only
MAGIC_EVENT_9cea75ff3c9b,MAGIC_2023,Gurnigelbad,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_2343a1c8d7ef,MAGIC_2023,Kiental,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,kiental,unique_normalised_label,candidate_match_scope_pending,medium,kiental,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Kiental,SKI_CLUSTER_137,confident,provisional_existing_listing_not_independent_domain,567,Reichenbach im Kandertal,Reichenbach im Kandertal,True,coordinate_container_only
MAGIC_EVENT_f10447287134,MAGIC_2023,Lauchernalp-Lötschental,2023/2024,2023-03-14,2,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,lauchernalp_lotschental,unique_normalised_label,candidate_match_scope_pending,medium,lauchernalp_lotschental,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Lauchernalp - Lötschental,SKI_CLUSTER_073,confident,provisional_existing_listing_not_independent_domain,6202,Wiler (Lötschen),,False,coordinate_container_only
