source_id,variable_name,variable_description,source_organisation,source_dataset_name,source_page_url,direct_download_url,api_endpoint,api_parameters,wms_layer,geocat_metadata_url,retrieval_method,retrieval_date,original_file_name,local_raw_file,processed_file,geographic_level,temporal_resolution,temporal_start,temporal_end,unit,license,access_conditions,transformation_applied,quality_notes,confidence_level,manual_verification,notes
GEOADMIN_MUNICIPALITY_IDENTIFY,point_municipality_bfs_id|point_municipality_name|point_municipality_canton,Current municipality polygon containing each supplied resort coordinate,Federal Office of Topography swisstopo / geo.admin.ch,Municipal boundaries — current swissBOUNDARIES3D layer,https://docs.geo.admin.ch/access-data/identify-features.html,,https://api3.geo.admin.ch/rest/services/ech/MapServer/identify,geometryType=esriGeometryPoint; sr=4326; layer=ch.swisstopo.swissboundaries3d-gemeinde-flaeche.fill; query-specific geometry recorded in config/municipality_queries.json,ch.swisstopo.swissboundaries3d-gemeinde-flaeche.fill,,271 rate-limited HTTP GET requests with immutable responses and SHA-256 sidecars,2026-09-19T23:27:16.405897+00:00,GEO_POINT_<query_hash>_<timestamp>.json,data_external/source_evidence/GEO_POINT_*.json,data_processed/resort_point_municipality.csv,point-in-current-municipality polygon,boundary snapshot,2026-01-01,2026-01-01,municipality identifier,See geo.admin.ch terms of use,Public API; raw response preserved for every point,Selected the unique result marked is_current_jahr=true; no distance or fuzzy-name inference,Coordinate containment is not a tourism catchment or municipal exposure weight,high for point containment; none for causal tourism exposure,logic checked; 3 non-Swiss points unresolved,
GSTAAD_SCOPE_OFFICIAL,destination_scope_evidence,"Official operator evidence for access points spanning Saanen, Rougemont, Zweisimmen and St. Stephan",Bergbahnen Destination Gstaad AG,Official destination or municipal scope page,https://bergbahnen-gstaad.ch/en/arrival-parking,https://bergbahnen-gstaad.ch/en/arrival-parking,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-20T00:55:49.309926+00:00,GSTAAD_SCOPE_OFFICIAL_20260920T005549Z.html,data_external/source_evidence/GSTAAD_SCOPE_OFFICIAL_20260920T005549Z.html,data_processed/treatment_destination_units.csv,official destination or municipality,retrieval-date scope snapshot,,2026,scope evidence,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Manually reviewed scope statement encoded in config/treatment_destination_review.json,Current scope evidence does not by itself establish historical tourism exposure,high for stated scope; analytical mapping remains explicitly qualified,reviewed,
LOCAL_03b4345dbe87,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,stations_ski_assignations_clusters_gps_bergfex.csv,,,,,,,researcher-supplied local file,UNKNOWN,stations_ski_assignations_clusters_gps_bergfex.csv,data_raw/stations_ski_assignations_clusters_gps_bergfex.csv,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_0f53d91bbb86,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,bahnen-winter_2056.gpkg,,,,,,,researcher-supplied local file,UNKNOWN,bahnen-winter_2056.gpkg,data_raw/bahnen-winter_2056.gpkg,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_14a174ea6a94,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,stations_ski_clusters_calibration_seuils_gps_bergfex.csv,,,,,,,researcher-supplied local file,UNKNOWN,stations_ski_clusters_calibration_seuils_gps_bergfex.csv,data_raw/stations_ski_clusters_calibration_seuils_gps_bergfex.csv,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_430fe06a9598,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,carte_communes_nuitees_croisees_provisoir_avec_stations_gps_bergfex.html,,,,,,,researcher-supplied local file,UNKNOWN,carte_communes_nuitees_croisees_provisoir_avec_stations_gps_bergfex.html,data_raw/carte_communes_nuitees_croisees_provisoir_avec_stations_gps_bergfex.html,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_4431c47c859d,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,bergfex_stations_ski_suisse_par_region.csv,,,,,,,researcher-supplied local file,UNKNOWN,bergfex_stations_ski_suisse_par_region.csv,data_raw/bergfex_stations_ski_suisse_par_region.csv,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_5c587073db3b,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,nuitée_commune_final.csv,,,,,,,researcher-supplied local file,UNKNOWN,nuitée_commune_final.csv,data_raw/nuitée_commune_final.csv,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_5f838870add4,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,stations_ski_clusters_gps_bergfex.geojson,,,,,,,researcher-supplied local file,UNKNOWN,stations_ski_clusters_gps_bergfex.geojson,data_raw/stations_ski_clusters_gps_bergfex.geojson,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_8b04208d016e,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,stations_ski_gps_bergfex_normalise.csv,,,,,,,researcher-supplied local file,UNKNOWN,stations_ski_gps_bergfex_normalise.csv,data_raw/stations_ski_gps_bergfex_normalise.csv,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_9960a7d400b5,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,carte_stations_ski_clusters_assignations_gps_bergfex.html,,,,,,,researcher-supplied local file,UNKNOWN,carte_stations_ski_clusters_assignations_gps_bergfex.html,data_raw/carte_stations_ski_clusters_assignations_gps_bergfex.html,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_afb2b0d65a48,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,position_gps_stations_ski.csv,,,,,,,researcher-supplied local file,UNKNOWN,position_gps_stations_ski.csv,data_raw/position_gps_stations_ski.csv,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
LOCAL_f3dccaa5c1ef,dataset,Existing thesis input; upstream construction under audit,UNKNOWN,stations_ski_clusters_resume_gps_bergfex.csv,,,,,,,researcher-supplied local file,UNKNOWN,stations_ski_clusters_resume_gps_bergfex.csv,data_raw/stations_ski_clusters_resume_gps_bergfex.csv,,,,,,,UNKNOWN,Local research copy; redistribution not established,,See reports/data_audit_details.json; upstream provenance requires verification,unverified,pending,Filesystem timestamp is not treated as a retrieval date
MAGIC_2017,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/dossier-de-presse_11_4-1.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:21:36.251174+00:00,MAGIC_2017_20260919T232136Z.pdf,data_external/source_evidence/MAGIC_2017_20260919T232136Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2017,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2018,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/mp-communique-presse-07_03_18-fr.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:21:46.699377+00:00,MAGIC_2018_20260919T232146Z.pdf,data_external/source_evidence/MAGIC_2018_20260919T232146Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2018,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2019,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/mp-cp-13mars-2019-fr-2_prix.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:21:56.936424+00:00,MAGIC_2019_20260919T232156Z.pdf,data_external/source_evidence/MAGIC_2019_20260919T232156Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2019,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2020,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/magic_pass_20-21_communique_lancement-1.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:23:50.233825+00:00,MAGIC_2020_20260919T232350Z.pdf,data_external/source_evidence/MAGIC_2020_20260919T232350Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2020,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2021,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/210316_magicpass-dossier-de-presse-final.pdf,,,,,attempted HTTP GET; see collection log,,,,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2021,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,official URL verified; local retrieval pending,pending or page-level,Not used as extracted evidence because download did not complete
MAGIC_2021_APRIL,membership_event_evidence,Official April 2021 follow-up release for the 2021/2022 pass,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/210412_magicpass_communiquedepresse.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-20T01:15:19.337900+00:00,MAGIC_2021_APRIL_20260920T011519Z.pdf,data_external/source_evidence/MAGIC_2021_APRIL_20260920T011519Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2022,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/magicpass-commpresse-fr-15mar22.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:22:27.695130+00:00,MAGIC_2022_20260919T232227Z.pdf,data_external/source_evidence/MAGIC_2022_20260919T232227Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2022,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2022_DOSSIER,membership_event_evidence,Official full press dossier for the 2022/2023 pass,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/magicpass-dossierpresse-2022-fr-1.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-20T01:16:51.624040+00:00,MAGIC_2022_DOSSIER_20260920T011651Z.pdf,data_external/source_evidence/MAGIC_2022_DOSSIER_20260920T011651Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2023,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/mp-cp-23-dossier-presse-no-embargo-fr-avec-compression.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:22:38.145606+00:00,MAGIC_2023_20260919T232238Z.pdf,data_external/source_evidence/MAGIC_2023_20260919T232238Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2023,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2024,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/mp-cp-24-dossier-presse-fr-1-2.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:24:11.201676+00:00,MAGIC_2024_20260919T232411Z.pdf,data_external/source_evidence/MAGIC_2024_20260919T232411Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2024,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2025,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/dossier-de-presse-2025-ch-fr-avec-compression.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:22:58.692358+00:00,MAGIC_2025_20260919T232258Z.pdf,data_external/source_evidence/MAGIC_2025_20260919T232258Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2025,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,reviewed,
MAGIC_2026,membership_event_evidence,Official seasonal press evidence; membership extraction requires page verification,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/media/document/0/magicpass-2026-dossier-de-presse-chfr-avec-compression.pdf,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-20T00:56:13.071390+00:00,MAGIC_2026_20260920T005613Z.pdf,data_external/source_evidence/MAGIC_2026_20260920T005613Z.pdf,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2026,,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,pending or page-level,
MAGIC_CURRENT_MAP,current_magic_destination,Current destination list; not historical entry evidence,Magic Mountains Cooperation,Official current destination map,https://www.magicpass.ch/fr/stations/map,,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP_20260919T231726Z.html,data_external/source_evidence/MAGIC_CURRENT_MAP_20260919T231726Z.html,data_processed/magic_pass_current_destinations.csv,official ski destination,retrieval-date snapshot,,2026,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Embedded official destination JSON extracted from cached HTML,Current snapshot is not historical evidence,high for source authenticity; event/entity confidence stored per row,pending or page-level,
MAGIC_OFFICIAL_EVIDENCE_SET,membership_event_history,Union of official Magic Pass seasonal press evidence and dated archive notices,Magic Mountains Cooperation,Official Magic Pass evidence set,https://www.magicpass.ch/fr/presse,,,,,,Derived only from source rows MAGIC_2017 through MAGIC_2025 and MAGIC_PRESS_ARCHIVE,,,,data_processed/magic_pass_membership_history.csv,official ski destination with candidate resort link,season/event,2017/2018,2025/2026,membership event,,,Manual event transcription; reviewed aliases and unique normalised labels create candidate links,Incomplete continuity/exit audit; unresolved destinations retained,mixed; stored per event,partial,Treatment-ready is false for every event at the current checkpoint
MAGIC_PRESS_ARCHIVE,membership_event_evidence,Official dated membership announcements and exit notices,Magic Mountains Cooperation,Official Magic Pass press material,https://www.magicpass.ch/fr/presse,,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:17:15.917509+00:00,MAGIC_PRESS_ARCHIVE_20260919T231715Z.html,data_external/source_evidence/MAGIC_PRESS_ARCHIVE_20260919T231715Z.html,data_processed/magic_pass_membership_history.csv,official ski destination,dated announcement / season,2017,2026,destination membership event,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Page-numbered text extraction and manually reviewed event transcription,Destination/operator scope may differ from Bergfex listing scope,high for source authenticity; event/entity confidence stored per row,pending or page-level,
